user_language,q11_1,q11_2,q11_3,q11_4,q12,q13_1_1,q13_2_1,q13_3_1,q13_4_1,q13_5_1,q13_6_1,q13_7_1,q13_8_1,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q16_1,q16_2,q16_3,q16_4,q17_1,q17_2,q17_3,q66,q10_1,q10_2,q10_3,q18,q19,q20,q67,q68_1,q68_2,q70,q93,q69,q71,q73,q22,q23,q74_1,q74_2,q76_1,q76_2,q80_1,q80_2,q80_3,q80_4,q81_1,q81_2,q81_3,q81_4,list_experiment,q26,q27_1,q27_2,q27_3,q97_1,q97_2,q92,q94,q108,q105,border_outcome,traits1a,traits1b,traits2a,traits2b,traits3a,traits3b,traits4a,traits4b,fl_15_do,sample,q3,q8,q8_15_text,q5,q9,q9_24_text,q126,q129,traits5a,traits5b,traits6a,traits6b,border_gamble,border_treat,border_loss,border_ethnic,border_resource
AMH,Every day,Every day,Less than once a month,Every day,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,Disagree,Disagree,NA,NA,Not at all,Not at all,I agree strongly with A,NA,I agree strongly with A,NA,NA,NA,NA,NA,NA,NA,NA,A lot,A lot,Some,Not at all,1,NA,NA,NA,NA,No,Yes,Government B,Government B,Plan A,Plan A,Option 1,"Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",Yes|No|Yes|No|No|No|None|Appointed by a panel of leaders from all major ethnic groups,"Yes|No|No|Yes|Yes, African Union|Yes|None|Appointed by a panel of leaders from all major political parties","No|No|Yes|Yes|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission",Yes|No|No|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups,FL_17,endline_expanded,Male,Addis Ababa,NA,Urban,Gamo,NA,Government B,Plan B,"Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography",No|No|Yes|No|No|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,"Yes|No|Yes|No|Yes, African Union|Yes|None|Appointed by a panel of leaders from all major political parties",0,borders-gain-coethnic,0,TRUE,FALSE
EN,Never,A few times a week,Never,Every day,A few times a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,Disagree,Disagree,NA,NA,A moderate amount,A moderate amount,I agree with A,NA,I agree with B,NA,NA,NA,NA,NA,NA,NA,NA,Some,Some,Some,Some,NA,NA,NA,NA,NA,No,No,Government A,Government B,Plan B,Plan A,Option 2,"Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Yes|Yes|No|No|Yes, United Nations|No|None|Appointed by a panel of leaders from all major ethnic groups",No|No|Yes|Yes|No|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups,Yes|Yes|Yes|Yes|No|No|None|Appointed by a panel of leaders from all major political parties,"No|Yes|No|Yes|Yes, African Union|No|None|Appointed by a panel of leaders from all major political parties",FL_18,endline_expanded,Male,Addis Ababa,NA,Urban,Amhara,NA,Government B,Plan B,"Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography",No|No|No|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties,Yes|Yes|Yes|No|No|Yes|Final agreement must pass a national referendum|Appointed by Dialogue Commission,1,borders-gain-coethnic,0,TRUE,FALSE
EN,A few times a month,A few times a month,A few times a week,Every day,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,Disagree,Disagree,NA,NA,A little,A little,I agree with A,NA,I agree with B,NA,NA,NA,NA,NA,NA,NA,NA,Some,Some,Just a little,Just a little,1,NA,NA,NA,NA,No,Yes,Government A,Government B,Plan B,Plan B,Option 2,"Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography",No|Yes|No|Yes|No|No|None|Appointed by Dialogue Commission,No|No|Yes|No|No|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups,No|No|Yes|Yes|No|No|None|Appointed by Dialogue Commission,No|No|Yes|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,FL_18,endline_expanded,Male,Sidama Region,NA,Urban,Welayta,NA,Government B,Plan B,"Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|No|Yes|Yes|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties,Yes|Yes|Yes|Yes|No|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups,1,borders-loss,1,FALSE,FALSE
EN,A few times a week,Every day,Less than once a month,Every day,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,NA,NA,NA,Disagree,Disagree,NA,NA,A little,A little,I agree with A,NA,I agree with B,NA,NA,NA,NA,NA,NA,NA,NA,Some,Some,Some,Some,1,NA,NA,NA,NA,No,No,Government B,Government B,Plan B,Plan B,Option 1,"Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|No|Yes|No|No|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups,Yes|No|Yes|Yes|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,"Yes|Yes|Yes|No|Yes, United Nations|No|None|Appointed by Dialogue Commission","Yes|Yes|Yes|Yes|Yes, African Union|Yes|None|Appointed by a panel of leaders from all major political parties",FL_18,endline_expanded,Male,Addis Ababa,NA,Urban,Oromo,NA,Government B,Plan B,"Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","No|Yes|Yes|No|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission","Yes|Yes|No|Yes|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups",0,borders-gain,0,FALSE,FALSE
EN,Never,Less than once a month,Never,Every day,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,Strongly disagree,Strongly disagree,NA,NA,Not at all,Not at all,I agree strongly with A,NA,I agree strongly with B,NA,NA,NA,NA,NA,NA,NA,NA,Some,Some,Some,Some,2,NA,NA,NA,NA,No,Yes,Government A,Government A,Plan B,Plan B,Option 1,"Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Yes|No|Yes|Yes|Yes, African Union|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties","Yes|No|No|Yes|Yes, African Union|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties","No|Yes|Yes|No|Yes, United Nations|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission","Yes|Yes|Yes|Yes|Yes, African Union|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission",FL_17,endline_expanded,Male,Addis Ababa,NA,Urban,"Amhara,Tigre",NA,Government A,Plan A,"Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography",No|No|No|No|No|Yes|None|Appointed by a panel of leaders from all major political parties,Yes|Yes|No|Yes|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,0,borders-gain-resource,0,FALSE,TRUE
EN,Never,Less than once a month,A few times a month,A few times a week,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,Strongly disagree,Strongly disagree,NA,NA,Not at all,Not at all,I agree strongly with A,NA,I agree with B,NA,NA,NA,NA,NA,NA,NA,NA,Some,Some,Some,Some,2,NA,NA,NA,NA,Yes,Yes,Government A,Government B,Plan B,Plan B,Option 2,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography",Yes|No|No|No|No|Yes|Final agreement must pass a national referendum|Appointed by Dialogue Commission,Yes|Yes|Yes|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,No|No|Yes|Yes|No|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,Yes|No|Yes|Yes|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties,FL_18,endline_expanded,Male,Amhara Region,NA,Urban,Amhara,NA,Government A,Plan A,"Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Yes|Yes|No|Yes|Yes, African Union|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission","No|Yes|Yes|Yes|Yes, United Nations|No|None|Appointed by Dialogue Commission",1,borders-loss-coethnic,1,TRUE,FALSE
EN,A few times a week,A few times a month,A few times a week,Every day,Every day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,Agree,Agree,NA,NA,A moderate amount,A moderate amount,I agree with B,NA,I agree with A,NA,NA,NA,NA,NA,NA,NA,NA,A lot,A lot,Some,Some,3,NA,NA,NA,NA,Yes,Yes,Government B,Government B,Plan B,Plan A,Option 2,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","No|Yes|Yes|No|Yes, United Nations|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties","Yes|Yes|Yes|Yes|Yes, United Nations|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",Yes|No|No|No|No|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission,"No|Yes|Yes|No|Yes, African Union|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",FL_17,endline_expanded,Male,Amhara Region,NA,Rural,Amhara,NA,Government A,Plan A,"Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography",Yes|Yes|No|Yes|No|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties,"No|No|No|No|Yes, African Union|Yes|None|Appointed by Dialogue Commission",1,borders-loss,1,FALSE,FALSE
EN,Less than once a month,A few times a month,Less than once a month,Every day,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,Strongly disagree,Strongly disagree,NA,NA,A lot,A lot,I agree strongly with A,NA,I agree strongly with A,NA,NA,NA,NA,NA,NA,NA,NA,A lot,A lot,Some,Just a little,2,NA,NA,NA,NA,Yes,Yes,Government A,Government A,Plan A,Plan A,Option 1,"Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Yes|Yes|Yes|Yes|Yes, United Nations|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups",No|No|Yes|No|No|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission,Yes|Yes|No|Yes|No|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,"Yes|No|No|Yes|Yes, United Nations|No|None|Appointed by Dialogue Commission",FL_18,endline_expanded,Male,Oromia Region,NA,Rural,Oromo,NA,Government A,Plan B,"Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Yes|No|No|Yes|Yes, United Nations|Yes|None|Appointed by a panel of leaders from all major ethnic groups","No|No|Yes|No|Yes, African Union|Yes|None|Appointed by a panel of leaders from all major ethnic groups",0,borders-loss-resource,1,FALSE,TRUE
EN,Less than once a month,A few times a month,A few times a month,Every day,A few times a month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,Strongly disagree,Disagree,NA,NA,A little,Always,I agree with A,NA,I agree strongly with B,NA,NA,NA,NA,NA,NA,NA,NA,Some,Some,Some,Some,2,NA,NA,NA,NA,No,Yes,Government A,Government A,Plan A,Plan B,Option 1,"Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Yes|No|Yes|Yes|Yes, African Union|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups","Yes|Yes|Yes|No|Yes, United Nations|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission","No|No|No|Yes|Yes, African Union|Yes|Final agreement must pass a national referendum|Appointed by Dialogue Commission","No|Yes|Yes|Yes|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups",FL_17,endline_expanded,Male,Amhara Region,NA,Urban,Prefer not to say,NA,Government B,Plan A,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography",No|Yes|Yes|No|No|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties,"No|Yes|No|No|Yes, United Nations|No|None|Appointed by a panel of leaders from all major political parties",0,borders-gain-resource,0,FALSE,TRUE
EN,Never,Less than once a month,Less than once a month,A few times a week,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,Strongly disagree,Strongly disagree,NA,NA,Not at all,Not at all,I agree strongly with A,NA,I agree with A,NA,NA,NA,NA,NA,NA,NA,NA,A lot,A lot,Some,Some,2,NA,NA,NA,NA,No,Yes,Government A,Government A,Plan A,Plan B,Option 2,"Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|Yes|Yes|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,"No|Yes|Yes|Yes|Yes, United Nations|No|None|Appointed by a panel of leaders from all major ethnic groups","Yes|Yes|No|No|Yes, United Nations|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups",No|No|No|Yes|No|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,FL_18,endline_expanded,Male,Addis Ababa,NA,Urban,Prefer not to say,NA,Government B,Plan A,"Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography",No|No|No|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,Yes|Yes|Yes|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties,1,borders-loss-resource,1,FALSE,TRUE
EN,A few times a week,Every day,A few times a week,Every day,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,Strongly disagree,Strongly disagree,NA,NA,Not at all,Not at all,I agree strongly with A,NA,I agree strongly with B,NA,NA,NA,NA,NA,NA,NA,NA,A lot,A lot,A lot,Not at all,2,NA,NA,NA,NA,No,Yes,Government A,Government B,Plan A,Plan B,Option 2,"Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|Yes|No|No|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties,"No|Yes|No|No|Yes, African Union|Yes|Final agreement must pass a national referendum|Appointed by Dialogue Commission","No|Yes|Yes|No|Yes, United Nations|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",No|Yes|Yes|No|No|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,FL_18,endline_expanded,Male,Addis Ababa,NA,Urban,Amhara,NA,Government B,Plan B,"Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Yes|No|No|Yes|Yes, United Nations|Yes|None|Appointed by a panel of leaders from all major political parties","Yes|Yes|No|Yes|Yes, African Union|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups",1,borders-loss-resource,1,FALSE,TRUE
EN,Never,Less than once a month,Less than once a month,Every day,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,NA,NA,NA,Strongly disagree,Agree,NA,NA,Not at all,Not at all,I agree strongly with A,NA,I agree strongly with B,NA,NA,NA,NA,NA,NA,NA,NA,Some,Some,Some,Some,2,NA,NA,NA,NA,No,No,Government A,Government A,Plan A,Plan A,Option 2,"Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","No|No|No|No|Yes, United Nations|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups","Yes|Yes|No|No|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission","No|No|Yes|No|Yes, United Nations|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",No|No|No|No|No|No|None|Appointed by a panel of leaders from all major ethnic groups,FL_18,endline_expanded,Male,Amhara Region,NA,Urban,Amhara,NA,Government A,Plan B,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Yes|Yes|Yes|Yes|Yes, African Union|No|None|Appointed by a panel of leaders from all major political parties",No|No|Yes|Yes|No|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties,1,borders-loss-coethnic,1,TRUE,FALSE
EN,Never,Less than once a month,Never,Never,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,Disagree,Agree,NA,NA,Not at all,Always,I agree with A,NA,I agree strongly with B,NA,NA,NA,NA,NA,NA,NA,NA,Not at all,Not at all,Not at all,Not at all,1,NA,NA,NA,NA,No,No,Government A,Government A,Plan A,Plan B,Option 1,"Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|No|Yes|Yes|No|Yes|None|Appointed by a panel of leaders from all major ethnic groups,"No|Yes|Yes|Yes|Yes, United Nations|Yes|None|Appointed by Dialogue Commission","Yes|No|Yes|Yes|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",No|No|Yes|Yes|No|No|None|Appointed by a panel of leaders from all major ethnic groups,FL_18,endline_expanded,Female,Oromia Region,NA,Urban,"Amhara,Oromo",NA,Government A,Plan A,"Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|Yes|No|No|No|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,"No|Yes|No|No|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",0,borders-loss-resource,1,FALSE,TRUE
EN,Never,A few times a week,Never,Every day,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,Disagree,Disagree,NA,NA,Not at all,Not at all,I agree strongly with A,NA,I agree with B,NA,NA,NA,NA,NA,NA,NA,NA,Some,Some,Some,Some,2,NA,NA,NA,NA,NA,Yes,Government B,Government B,Plan B,Plan B,Option 1,"Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Yes|Yes|Yes|Yes|Yes, African Union|Yes|Final agreement must pass a national referendum|Appointed by Dialogue Commission","Yes|Yes|No|Yes|Yes, United Nations|No|None|Appointed by Dialogue Commission","No|Yes|No|Yes|Yes, United Nations|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties","No|No|Yes|Yes|Yes, African Union|No|None|Appointed by a panel of leaders from all major ethnic groups",FL_17,endline_expanded,Female,Addis Ababa,NA,Urban,Guragie,NA,Government B,Plan B,"Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|Yes|No|No|No|Yes|None|Appointed by a panel of leaders from all major ethnic groups,"No|No|Yes|Yes|Yes, African Union|Yes|None|Appointed by Dialogue Commission",0,borders-loss,1,FALSE,FALSE
AMH,NA,NA,NA,A few times a week,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,Disagree,Disagree,NA,NA,Not at all,Not at all,I agree strongly with B,NA,I agree with B,NA,NA,NA,NA,NA,NA,NA,NA,Some,Some,Some,Some,2,NA,NA,NA,NA,No,Yes,Government B,Government B,Plan B,Plan A,Option 1,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","No|No|No|Yes|Yes, United Nations|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission","Yes|No|Yes|No|Yes, African Union|Yes|None|Appointed by a panel of leaders from all major ethnic groups","No|Yes|Yes|Yes|Yes, United Nations|Yes|None|Appointed by a panel of leaders from all major political parties","No|Yes|Yes|No|Yes, United Nations|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",FL_17,endline_expanded,Male,Oromia Region,NA,Urban,Oromo,NA,Government B,Plan B,"Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","No|Yes|Yes|Yes|Yes, United Nations|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups","Yes|Yes|Yes|No|Yes, United Nations|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission",0,borders-gain,0,FALSE,FALSE
