user_language,q2,q3,q4,q5,q6,q8,q9,q10_1,q10_2,q10_3,q11_1,q11_2,q11_3,q11_4,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q16_1,q16_2,q16_3,q16_4,q17_1,q17_2,q17_3,q18,q19,q20,q21,q22,q23,q24,q25_1,q25_2,q25_3,q26,q27_1,q27_2,q27_3,q28,q29,q30,q31,q38,q45_1,fl_15_do,tolerant_engagement_forums_invitation_do,federalism_do
EN,Yes,Male,Yes,Rural,Yes,Prefer not to say,Prefer not to say,1,2,3,Less than once a month,A few times a month,Less than once a month,Every day,Never,Once or Twice,Never,Once or Twice,Never,Never,Once or Twice,Never,Once or Twice,Never,More than 5 times,More than 10 times,More than 10 times,Active member,Not a member,Not a member,Inactive member,NA,No,No,NA,1,10,7,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree strongly with A,I agree strongly with B,Agree,Strongly like,Neither like nor dislike,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,20,Very interested,10,FL_18,Q35,Q40|Q43|Q45
EN,Yes,Male,No,Rural,Yes,Benishangul-Gumuz Region,Oromo,1,2,3,Never,Never,Never,Every day,Never,Never,Never,Never,More than twice,Once or Twice,Once or Twice,Never,Once or Twice,Never,Once or Twice,More than 5 times,Once or Twice,Official leader,Not a member,Not a member,Not a member,NA,No,No,Yes,0,8,5,Strongly disagree,I agree strongly with B,I agree with A,I agree strongly with B,I agree strongly with A,I agree strongly with B,Agree,Strongly like,Somewhat like,Strongly like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",I don't know my plans yet,NA,NA,3,Somewhat interested,7,FL_18,Q36,Q40|Q44|Q45
AFAN_OROMO,Yes,Male,Yes,Urban,Yes,Oromia Region,Oromo,1,3,2,Less than once a month,A few times a month,A few times a week,Every day,Less than once a month,More than 5 times,Never,Once or Twice,Once or Twice,Never,Once or Twice,Never,Never,Never,Never,Never,Once or Twice,Active member,Not a member,Not a member,Active member,NA,No,No,NA,7,8,7,Strongly disagree,I agree strongly with B,I agree with A,I agree with B,I agree with A,I agree with B,Disagree,Strongly like,Somewhat like,Somewhat like,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities",6,Very interested,5,FL_18,Q36,Q40|Q41|Q45
EN,Yes,Male,Yes,Urban,Yes,Amhara Region,Amhara,1,NA,NA,A few times a week,A few times a week,Every day,Every day,A few times a month,More than 5 times,Never,Once or Twice,Never,Once or Twice,More than twice,Never,More than 5 times,More than twice,More than twice,NA,Once or Twice,Active member,Active member,Not a member,Not a member,NA,NA,No,Yes,7,8,10,Neither agree nor disagree,I agree with A,I agree with A,I agree with B,I agree with A,I agree with B,Neither agree nor disagree,Strongly like,Somewhat like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind",NA,"No, I plan to stay in Addis",NA,Job opportunities,15,Very interested,7,FL_17,Q37,Q40|Q42|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Amhara,2,1,3,A few times a week,A few times a week,Every day,Every day,Less than once a month,Once or Twice,Never,Once or Twice,More than twice,Never,Once or Twice,Never,Once or Twice,More than 5 times,More than 10 times,More than 10 times,More than 10 times,Inactive member,Not a member,Not a member,Active member,NA,No,No,NA,2,8,7,Strongly disagree,I agree with B,I agree with B,I agree with B,I agree strongly with A,I agree with A,Agree,Neither like nor dislike,Neither like nor dislike,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Proximity to family,56,Very interested,8,FL_18,Q37,Q40|Q42|Q45
EN,Yes,Male,Yes,Urban,Yes,Oromia Region,Oromo,NA,2,NA,NA,NA,NA,A few times a week,Never,Once or Twice,Never,More than twice,Once or Twice,More than twice,More than twice,Once or Twice,Never,Never,Once or Twice,More than twice,More than twice,Prefer not to say,Inactive member,Not a member,Active member,No,NA,No,NA,0,1,2,Strongly disagree,I agree strongly with B,I agree with neither,I agree with B,I agree with A,I agree with B,Agree,Strongly like,Strongly like,Strongly like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",20,Very interested,8,FL_17,Q34,Q40|Q44|Q45
EN,Yes,Male,Yes,Urban,Yes,Addis Ababa,"Amhara,Guragie,Oromo",1,NA,NA,Less than once a month,A few times a week,Every day,A few times a week,Never,More than 5 times,Once or Twice,More than twice,Never,Never,Never,Never,More than 10 times,Never,More than twice,More than 5 times,Never,Not a member,Not a member,Not a member,Active member,No,No,No,NA,1,5,5,Neither agree nor disagree,I agree with neither,I agree strongly with A,I agree with neither,I agree strongly with A,I agree strongly with B,Strongly agree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Other,20,Very interested,8,FL_17,Q37,Q40|Q44|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,Prefer not to say,1,2,3,Never,A few times a month,A few times a week,Every day,Less than once a month,Once or Twice,Never,Once or Twice,Once or Twice,Never,Never,Never,Never,Never,Never,More than twice,Never,Active member,Not a member,Not a member,Active member,NA,No,No,NA,3,8,4,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,I agree strongly with B,I agree strongly with B,Strongly disagree,Strongly like,Neither like nor dislike,Strongly like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Other educational opportunities,5,Very interested,10,FL_17,Q37,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Oromia Region,Oromo,NA,1,NA,Never,A few times a month,Never,Every day,Never,More than twice,Never,Never,More than twice,Never,Never,Never,Never,Never,More than 10 times,Never,Never,Not a member,Inactive member,Not a member,Inactive member,No,NA,No,NA,0,9,9,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with neither,I agree with A,I agree with A,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Other,50,Very interested,3,FL_17,Q35,Q40|Q43|Q45
AFAN_OROMO,Yes,Male,Yes,Rural,No,Oromia Region,Oromo,3,1,2,Every day,A few times a week,Every day,Every day,Less than once a month,Never,Once or Twice,More than 10 times,More than 5 times,Never,Never,Never,Once or Twice,More than 10 times,More than 10 times,Never,Never,Prefer not to say,Active member,Not a member,Active member,No,NA,No,NA,0,1,8,Strongly disagree,I agree strongly with B,I agree with B,I agree with A,I agree with A,I agree strongly with A,Neither agree nor disagree,Strongly like,Somewhat like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,4,Very interested,1,FL_17,Q34,Q40|Q43|Q45
AFAN_OROMO,Yes,Male,Yes,Rural,Yes,Oromia Region,Oromo,2,1,NA,A few times a week,A few times a week,Every day,A few times a week,A few times a month,Never,Never,More than twice,Never,Never,Never,Never,More than 10 times,Never,More than 10 times,Never,Never,Inactive member,Prefer not to say,Not a member,Not a member,NA,No,No,Yes,5,5,5,Neither agree nor disagree,I agree strongly with B,I agree with neither,I agree with B,I agree strongly with B,I agree with neither,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Somewhat like,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Other educational opportunities,10,Very interested,2,FL_18,Q35,Q40|Q42|Q45
EN,Yes,Male,Yes,Rural,No,Amhara Region,Amhara,1,2,3,Every day,Every day,Every day,Every day,A few times a week,More than 10 times,More than 5 times,More than 5 times,More than twice,More than 10 times,More than twice,Once or Twice,More than 10 times,More than 5 times,More than 10 times,More than 5 times,More than 5 times,Active member,Inactive member,Inactive member,Active member,NA,NA,NA,NA,10,7,10,Strongly disagree,I agree with neither,I agree with A,I agree with B,I agree with B,I agree strongly with B,Agree,Somewhat like,Neither like nor dislike,Somewhat like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, I plan to move back to my home region",Job opportunities,NA,20,Very interested,5,FL_18,Q35,Q40|Q41|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,Other,1,2,3,A few times a month,A few times a month,Less than once a month,A few times a week,Never,Never,Never,More than twice,Never,Never,More than twice,Never,Never,Never,Never,More than 10 times,More than 5 times,Official leader,Not a member,Not a member,Active member,NA,No,No,NA,2,7,7,Strongly disagree,I agree with B,I agree with neither,I agree with B,I agree with A,I agree with B,Disagree,Strongly like,Neither like nor dislike,Neither like nor dislike,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Proximity to family,5,Somewhat uninterested,6,FL_18,Q37,Q40|Q41|Q45
EN,Yes,Male,Yes,Rural,No,Oromia Region,Oromo,1,3,2,A few times a month,Less than once a month,Never,Every day,A few times a month,More than twice,Once or Twice,Never,Never,Once or Twice,Once or Twice,Never,Once or Twice,Once or Twice,More than twice,More than twice,More than twice,Not a member,Not a member,Not a member,Not a member,No,Yes,No,No,6,10,10,Strongly disagree,I agree strongly with B,I agree with A,I agree with B,I agree with A,I agree strongly with A,Agree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,5,Very interested,8,FL_17,Q35,Q40|Q44|Q45
EN,Yes,Male,Yes,Rural,Yes,"Southern Nations, Nationalities, and Peoples Region",Welayta,1,NA,NA,A few times a month,A few times a week,A few times a month,Every day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Not a member,Inactive member,Not a member,Not a member,No,NA,No,No,NA,NA,NA,Somewhat agree,I agree with B,I agree strongly with B,I agree with B,I agree strongly with A,I agree with A,Disagree,Strongly like,Somewhat dislike,Strongly like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","Yes, I plan to move back to my home region",Proximity to family,NA,3,Very interested,4,FL_17,Q36,Q40|Q42|Q45
EN,Yes,Male,Yes,Rural,Yes,Sidama Region,"Oromo,Sidama",1,2,3,A few times a month,Every day,Less than once a month,Every day,A few times a month,More than 10 times,Once or Twice,More than twice,Once or Twice,Never,Never,Never,More than 10 times,More than 5 times,More than 10 times,More than twice,More than 5 times,Active member,Inactive member,Prefer not to say,Not a member,NA,NA,No,No,7,8,10,Somewhat agree,I agree with B,I agree with A,I agree with B,I agree strongly with A,I agree strongly with B,Strongly disagree,Somewhat like,Strongly dislike,Strongly like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Job opportunities,6,Very interested,10,FL_18,Q35,Q40|Q43|Q45
EN,Yes,Female,Yes,Urban,Yes,Addis Ababa,Tigre,1,3,2,Less than once a month,A few times a month,A few times a month,Every day,Never,Never,Never,Never,Never,Never,Never,Never,More than 10 times,More than 10 times,More than 10 times,More than 10 times,More than 10 times,Not a member,Not a member,Not a member,Not a member,No,No,No,No,5,5,NA,Neither agree nor disagree,I agree with neither,I agree with A,I agree with neither,I agree with B,I agree with neither,Strongly agree,Strongly like,Strongly like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Proximity to family",5,Very uninterested,5,FL_17,Q37,Q40|Q42|Q45
EN,Yes,Female,No,Urban,Yes,Oromia Region,Oromo,1,NA,3,A few times a week,A few times a week,Less than once a month,A few times a week,Never,Never,Never,Never,Once or Twice,Never,Once or Twice,Never,More than twice,More than twice,More than 5 times,More than twice,More than twice,Inactive member,Not a member,Not a member,Not a member,NA,No,No,Yes,0,10,10,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree strongly with B,I agree with neither,Disagree,Somewhat like,Strongly like,Strongly like,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Other educational opportunities,10,Very interested,10,FL_18,Q34,Q40|Q43|Q45
EN,Yes,Male,No,Urban,Yes,Dire Dawa (city),Oromo,1,3,2,Less than once a month,A few times a month,Every day,Every day,Less than once a month,More than 5 times,Never,More than twice,Once or Twice,Never,Never,Never,More than twice,Once or Twice,Once or Twice,More than 10 times,Once or Twice,Not a member,Not a member,Not a member,Not a member,Yes,No,No,Yes,2,5,10,Strongly disagree,I agree strongly with B,I agree with A,I agree strongly with B,I agree with B,I agree with A,Agree,Strongly like,Somewhat like,Strongly like,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Other educational opportunities,5,Very interested,7,FL_17,Q37,Q40|Q44|Q45
EN,Yes,Female,No,Urban,Yes,Sidama Region,Prefer not to say,1,3,2,Never,Less than once a month,Never,Every day,Never,Never,Never,Once or Twice,Once or Twice,Never,Never,Never,More than twice,Once or Twice,More than twice,More than 10 times,More than 5 times,Official leader,Not a member,Not a member,Not a member,NA,No,No,Yes,2,7,2,Strongly disagree,I agree with B,I agree with B,I agree with B,I agree with A,I agree with B,Agree,Somewhat like,Somewhat like,Somewhat like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,15,Very interested,8,FL_18,Q36,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Amhara Region,Amhara,1,NA,NA,Never,A few times a month,Never,Less than once a month,Never,Once or Twice,Once or Twice,Never,Never,Never,Once or Twice,Never,More than twice,Once or Twice,Once or Twice,Once or Twice,Once or Twice,Prefer not to say,Not a member,Not a member,Not a member,Yes,No,No,No,1,0,0,Strongly disagree,I agree with B,I agree with A,I agree with A,I agree with A,I agree with B,Disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,5,Somewhat interested,5,FL_17,Q35,Q40|Q44|Q45
EN,Yes,Male,No,Urban,Yes,Prefer not to say,Prefer not to say,2,1,3,A few times a month,Less than once a month,Every day,Every day,Never,More than twice,Never,Never,Never,Never,Never,Never,More than 10 times,Never,More than twice,More than 10 times,Never,Not a member,Not a member,Not a member,Not a member,No,No,No,No,7,6,10,Strongly disagree,I agree with B,I agree with A,I agree with B,I agree with A,I agree with neither,Strongly disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,I don't know yet,"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",I don't know my plans yet,NA,NA,8,Very interested,6,FL_18,Q36,Q40|Q43|Q45
EN,Yes,Male,No,Rural,Yes,Oromia Region,Oromo,2,1,3,NA,NA,NA,NA,NA,Once or Twice,Once or Twice,More than twice,More than 5 times,Once or Twice,Once or Twice,Once or Twice,More than 5 times,Never,Never,Once or Twice,More than twice,Not a member,Not a member,Not a member,Active member,No,No,No,NA,5,10,10,Strongly disagree,I agree with B,I agree with A,I agree with B,I agree with A,I agree strongly with B,Agree,Somewhat like,Strongly like,Somewhat dislike,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, I plan to move to another region",Other educational opportunities,NA,5,Very interested,5,FL_18,Q37,Q40|Q42|Q45
EN,Yes,Male,No,Rural,Yes,Oromia Region,"Amhara,Guragie,Oromo,Other",1,NA,3,A few times a month,A few times a month,Less than once a month,Every day,Never,Once or Twice,Never,Never,Once or Twice,Never,Never,Never,Once or Twice,Once or Twice,More than twice,More than twice,Once or Twice,Inactive member,Not a member,Not a member,Not a member,NA,No,Yes,Yes,1,10,9,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree strongly with A,I agree strongly with B,Disagree,Strongly like,Strongly like,Strongly like,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Other",10,Very interested,6,FL_17,Q34,Q40|Q41|Q45
EN,Yes,Male,No,Urban,No,Oromia Region,Oromo,1,NA,NA,Never,Never,Never,Every day,Never,Never,Never,Never,Never,Never,Never,Never,More than twice,Never,Never,Never,More than twice,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,2,7,10,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree with A,I agree strongly with A,Neither agree nor disagree,Strongly like,Somewhat like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","No, I plan to stay in Addis",NA,NA,10,Very interested,5,FL_17,Q37,Q40|Q44|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,Oromo,1,3,2,Never,A few times a week,Every day,Every day,Less than once a month,More than 5 times,Once or Twice,Once or Twice,More than twice,Never,Once or Twice,Never,Once or Twice,More than twice,More than twice,More than 5 times,Once or Twice,Active member,Active member,Not a member,Not a member,NA,NA,No,Yes,3,8,8,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree with A,I agree with neither,Agree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",20,Very interested,7,FL_18,Q37,Q40|Q41|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,Amhara,1,2,3,A few times a month,A few times a month,Every day,Every day,Never,Once or Twice,Never,Never,More than twice,Never,Never,Never,Never,More than twice,More than 5 times,More than 10 times,More than 10 times,Inactive member,Not a member,Not a member,Not a member,NA,No,No,Yes,3,10,5,Strongly disagree,I agree with B,I agree strongly with A,I agree with B,I agree with A,I agree with B,Strongly disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",2,Very interested,6,FL_17,Q35,Q40|Q42|Q45
EN,Yes,Male,Yes,Urban,Yes,Oromia Region,"Amhara,Oromo,Tigre",1,2,3,Never,Never,A few times a month,Every day,Never,Once or Twice,Never,Once or Twice,Never,Never,Never,Never,Never,Never,Never,Never,Never,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,3,0,0,Strongly disagree,I agree with B,I agree strongly with A,I agree with neither,I agree strongly with A,I agree with neither,Disagree,Strongly dislike,Somewhat dislike,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","Yes, I plan to move to another region",Job opportunities,NA,10,Somewhat uninterested,5,FL_18,Q36,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Amhara,1,2,3,Less than once a month,A few times a week,Less than once a month,Every day,Never,Never,Never,Never,Once or Twice,Once or Twice,Never,Never,More than 10 times,Never,More than 10 times,More than 10 times,More than 10 times,Inactive member,Not a member,Not a member,Not a member,NA,No,No,No,1,10,2,Somewhat agree,I agree with B,I agree strongly with A,I agree strongly with A,I agree strongly with A,I agree with B,Strongly agree,Strongly dislike,Neither like nor dislike,Strongly dislike,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Job opportunities,6,Very interested,10,FL_18,Q37,Q40|Q44|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,"Amhara,Other",1,2,3,A few times a month,A few times a week,A few times a month,Every day,Never,Never,Never,More than twice,More than 5 times,Never,Never,Never,Never,Never,Never,Never,Never,Not a member,Not a member,Not a member,Not a member,No,No,No,No,6,10,10,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree strongly with A,I agree with neither,Agree,Strongly like,Neither like nor dislike,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Proximity to family,16,Very interested,5,FL_18,Q35,Q40|Q43|Q45
AMH,Yes,Male,Yes,Rural,Yes,"Southern Nations, Nationalities, and Peoples Region",Guragie,1,2,3,A few times a week,Every day,A few times a month,Every day,Less than once a month,More than 10 times,Never,Once or Twice,Never,Once or Twice,More than twice,Once or Twice,More than 5 times,Never,Once or Twice,Never,More than 10 times,Not a member,Not a member,Not a member,Active member,No,Yes,No,NA,5,10,10,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree strongly with A,I agree strongly with B,Agree,Strongly like,Somewhat like,Strongly like,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,50,Very interested,3,FL_17,Q35,Q40|Q43|Q45
EN,Yes,Male,Yes,Urban,Yes,"Southern Nations, Nationalities, and Peoples Region",Kembata,1,2,3,Less than once a month,A few times a month,Never,Every day,Never,Never,Never,More than 5 times,Never,Never,Never,Never,Once or Twice,Never,Once or Twice,Never,Once or Twice,Official leader,Not a member,Not a member,Not a member,NA,No,No,Yes,0,10,7,Strongly disagree,I agree with B,I agree with B,I agree strongly with B,I agree with neither,I agree with B,Agree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,4,Very interested,8,FL_18,Q35,Q40|Q44|Q45
EN,Yes,Male,No,Rural,Yes,Other,Guragie,1,2,3,A few times a month,Every day,Never,Every day,Never,Never,Once or Twice,Once or Twice,Once or Twice,Once or Twice,Never,Never,More than twice,Never,Once or Twice,More than twice,More than twice,Active member,Not a member,Not a member,Not a member,NA,Yes,No,Yes,3,10,10,Strongly disagree,I agree with B,I agree with A,I agree with B,I agree with A,I agree with B,Disagree,Strongly like,Strongly like,Strongly like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","Yes, I plan to move to another region",Job opportunities,NA,30,Very interested,5,FL_17,Q34,Q40|Q42|Q45
EN,Yes,Male,Yes,Urban,No,Amhara Region,Amhara,1,2,3,A few times a week,Less than once a month,A few times a week,Less than once a month,Less than once a month,More than 5 times,Once or Twice,More than twice,Once or Twice,Never,Once or Twice,Once or Twice,More than 5 times,Once or Twice,Once or Twice,Never,Once or Twice,Not a member,Not a member,Inactive member,Active member,No,No,NA,NA,6,10,10,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree strongly with A,I agree strongly with A,Agree,Neither like nor dislike,Strongly like,Neither like nor dislike,"Public sector or civil service (ex. public university, government ministry)","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Job opportunities,6,Very interested,5,FL_18,Q36,Q40|Q43|Q45
EN,Yes,Female,No,Urban,Yes,Sidama Region,Prefer not to say,1,2,3,Less than once a month,A few times a week,A few times a month,Every day,Never,More than 5 times,Never,More than twice,Once or Twice,Once or Twice,More than twice,More than twice,More than twice,Once or Twice,Once or Twice,Once or Twice,More than twice,Not a member,Not a member,Not a member,Active member,No,No,No,NA,0,5,8,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree with B,I agree strongly with B,Neither agree nor disagree,Strongly like,Somewhat like,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities",15,Very interested,7,FL_17,Q34,Q40|Q42|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,"Amhara,Oromo",1,3,2,A few times a month,A few times a week,Less than once a month,Less than once a month,Never,Never,Never,Never,More than 5 times,Never,Once or Twice,Never,More than twice,Never,Never,More than 10 times,More than twice,Not a member,Not a member,Not a member,Not a member,No,No,No,No,3,7,4,Strongly disagree,I agree strongly with B,I agree with A,I agree with A,I agree with A,I agree with neither,Disagree,Neither like nor dislike,Somewhat dislike,Neither like nor dislike,I don't know yet,"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",I don't know my plans yet,NA,NA,20,Somewhat interested,8,FL_17,Q35,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Guragie,1,2,3,A few times a month,A few times a week,A few times a week,Every day,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than twice,More than 5 times,More than twice,More than 10 times,Inactive member,Not a member,Not a member,Not a member,NA,No,No,Yes,1,6,5,Somewhat disagree,I agree with B,I agree with neither,I agree with B,I agree with B,I agree with B,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family,Other",25,Somewhat interested,4,FL_17,Q36,Q40|Q44|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Prefer not to say,1,2,3,Never,A few times a week,A few times a month,Every day,Never,Never,Never,Once or Twice,More than 10 times,Never,Never,Never,Never,Never,Never,More than twice,More than 10 times,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,0,10,8,Strongly disagree,I agree strongly with B,I agree with B,I agree strongly with B,I agree strongly with A,I agree strongly with B,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Proximity to family",15,Very interested,8,FL_18,Q37,Q40|Q42|Q45
EN,Yes,Male,Yes,Urban,No,Oromia Region,Oromo,1,NA,NA,Never,A few times a month,Never,Every day,Never,Never,Never,Never,Never,Once or Twice,Once or Twice,Never,Never,Never,Never,More than 10 times,Never,Not a member,Not a member,Not a member,Not a member,Yes,No,No,Yes,0,10,10,Strongly disagree,I agree with B,I agree with A,I agree with A,I agree with A,I agree with B,Disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","Yes, I plan to move back to my home region",Job opportunities,NA,NA,Somewhat interested,5,FL_18,Q36,Q40|Q44|Q45
EN,Yes,Female,Yes,Urban,Yes,Amhara Region,Tigre,2,3,1,Never,Never,Every day,Every day,Never,More than 5 times,Never,More than twice,Once or Twice,Never,Never,Never,Never,More than 10 times,More than 5 times,Never,Never,Inactive member,Inactive member,Inactive member,Active member,NA,NA,NA,NA,0,10,9,Somewhat disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree strongly with A,I agree with B,Agree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,10,Very interested,1,FL_17,Q35,Q40|Q43|Q45
